Start,End,Value
0.0,1.0,0.000574269000994776
0.0,2.0,0.0005739392161092724
0.0,3.0,0.0005736096206090056
0.0,4.0,0.0005732802143852175
0.0,5.0,0.0005955199301864913
0.0,6.0,0.0005951644703841419
0.0,7.0,0.0005948092227521411
0.0,8.0,0.0005944541871638464
0.0,9.0,0.0006279163889559176
0.0,10.0,0.0006275202580341713
0.0,11.0,0.0006271243770178424
0.0,12.0,0.0006267287457492739
0.0,13.0,0.0006581598481374015
0.0,14.0,0.0006577235391615797
0.0,15.0,0.0006572875194247972
0.0,16.0,0.0006568517887353114
0.0,17.0,0.0006950711788098367
0.0,18.0,0.0006945832663181991
0.0,19.0,0.0006940956963218435
0.0,20.0,0.0006936084685803521
0.0,21.0,0.000733643788564844
0.0,22.0,0.0007330986916502925
0.0,23.0,0.0007325539997424361
0.0,24.0,0.0007320097125403554
0.0,25.0,0.000776414039462639
0.0,26.0,0.0007758017155842365
0.0,27.0,0.0007751898746189617
0.0,28.0,0.0007745785161859618
0.0,29.0,0.0008208667286376227
0.0,30.0,0.000820180118329453
0.0,31.0,0.000819494082333408
0.0,32.0,0.0008188086201691074
0.0,33.0,0.0008673738384870067
0.0,34.0,0.0008666046525889385
0.0,35.0,0.000865836148803841
0.0,36.0,0.0008650683265268176
0.0,37.0,0.0009150186185955652
0.0,38.0,0.0009141595660122074
0.0,39.0,0.0009133013199384944
0.0,40.0,0.0009124438796172456
0.0,41.0,0.0009645751849180335
0.0,42.0,0.0009636169681920611
0.0,43.0,0.0009626597033662705
0.0,44.0,0.0009617033894950367
0.0,45.0,0.0010169550704556974
0.0,46.0,0.0010158857159741899
0.0,47.0,0.0010148174859464958
0.0,48.0,0.001013750379190223
0.0,49.0,0.0010739851355134147
0.0,50.0,0.0010727874512277736
0.0,51.0,0.0010715911025729536
0.0,52.0,0.0010703960880594887
0.0,53.0,0.0011374793245151299
0.0,54.0,0.0011361298298370303
0.0,55.0,0.0011347819361866127
0.0,56.0,0.0011334356416644329
0.0,57.0,0.0012091667007889792
0.0,58.0,0.001207634489331328
0.0,59.0,0.0012061042194355387
0.0,60.0,0.0012045758886413357
0.0,61.0,0.0012901618431449056
0.0,62.0,0.0012884086190978424
0.0,63.0,0.0012866577775383528
0.0,64.0,0.0012849093152288314
0.0,65.0,0.0013809500856312145
0.0,66.0,0.0013789304767014173
0.0,67.0,0.0013769138214049716
0.0,68.0,0.0013749001154222534
0.0,69.0,0.001481456563041985
0.0,70.0,0.0014791186324804952
0.0,71.0,0.0014767843914765982
0.0,72.0,0.0014744538342076933
0.0,73.0,0.0015915191080176706
0.0,74.0,0.0015888037872864515
0.0,75.0,0.0015860930992150832
0.0,76.0,0.0015833870358996974
0.0,77.0,0.0017115165054790444
0.0,78.0,0.0017083547668327586
0.0,79.0,0.0017051988689664097
0.0,80.0,0.0017020488010901402
0.0,81.0,0.0018430958404414028
0.0,82.0,0.001839402054416512
0.0,83.0,0.0018357156711836502
0.0,84.0,0.0018320366759067318
0.0,85.0,0.0019897289550537133
0.0,86.0,0.0019853893646225355
0.0,87.0,0.0019810592388197243
0.0,88.0,0.0019767385570029655
0.0,89.0,0.0021569682055826737
0.0,90.0,0.0021518237276886404
0.0,91.0,0.0021466915196336955
0.0,92.0,0.0021415715521536554
0.0,93.0,0.0023523137841325796
0.0,94.0,0.002346136571782706
0.0,95.0,0.002339975580887926
0.0,96.0,0.0023338307688504476
0.0,97.0,0.002584737308508385
0.0,98.0,0.0025772002358224436
0.0,99.0,0.0025696851411783268
0.0,100.0,0.0025621919604882464
1.0,2.0,0.000574269000994776
1.0,3.0,0.0005739392161092724
1.0,4.0,0.0005736096206090056
1.0,5.0,0.0005958621153281915
1.0,6.0,0.000595506451279004
1.0,7.0,0.0005951509995220778
1.0,8.0,0.0005947957599306978
1.0,9.0,0.0006282771890696323
1.0,10.0,0.0006278808305314645
1.0,11.0,0.0006274847220423092
1.0,12.0,0.0006270888634444192
1.0,13.0,0.000658538026111774
1.0,14.0,0.0006581014664332616
1.0,15.0,0.0006576651961599852
1.0,16.0,0.0006572292151000917
1.0,17.0,0.0006954705659969931
1.0,18.0,0.0006949823731513378
1.0,19.0,0.0006944945229977619
1.0,20.0,0.0006940070152957093
1.0,21.0,0.0007340653395340432
1.0,22.0,0.0007335199294073631
1.0,23.0,0.0007329749245200947
1.0,24.0,0.0007324303245711453
1.0,25.0,0.0007768601661741804
1.0,26.0,0.0007762474904551049
1.0,27.0,0.0007756352979266383
1.0,28.0,0.0007750235882077092
